Round,Day,Date,Time,First_Team_Name,First_Team_Score,First_Team_Win_Status,Second_Team_Name,Second_Team_Score,Location,Crowd_Attendance
1,Thursday,16 March,7:20 pm,Richmond,58,drew with,Carlton,58,Melbourne Cricket Ground,"88,084"
1,Friday,17 March,7:40 pm,Geelong,103,def. by,Collingwood,125,Melbourne Cricket Ground,"86,595"
1,Saturday,18 March,1:45 pm,North Melbourne,87,def.,West Coast,82,Marvel Stadium,"21,274"
1,Saturday,18 March,4:05 pm,Port Adelaide,126,def.,Brisbane Lions,72,Adelaide Oval,"34,255"
1,Saturday,18 March,7:25 pm,Melbourne,115,def.,Western Bulldogs,65,Melbourne Cricket Ground,"48,103"
1,Saturday,18 March,7:00 pm,Gold Coast,61,def. by,Sydney,110,Heritage Bank Stadium,"13,648"
1,Sunday,19 March,1:10 pm,Greater Western Sydney,106,def.,Adelaide,90,Giants Stadium,"8,169"
1,Sunday,19 March,3:20 pm,Hawthorn,65,def. by,Essendon,124,Melbourne Cricket Ground,"68,691"
1,Sunday,19 March,4:40 pm,St Kilda,67,def.,Fremantle,52,Marvel Stadium,"23,429"
2,Thursday,23 March,7:20 pm,Carlton,90,def.,Geelong,82,Melbourne Cricket Ground,"55,861"
2,Friday,24 March,6:55 pm,Brisbane Lions,93,def.,Melbourne,82,The Gabba,"30,047"
2,Saturday,25 March,1:45 pm,Collingwood,135,def.,Port Adelaide,64,Melbourne Cricket Ground,"60,744"
2,Saturday,25 March,4:05 pm,Adelaide,76,def. by,Richmond,108,Adelaide Oval,"38,492"
2,Saturday,25 March,7:25 pm,Western Bulldogs,41,def. by,St Kilda,92,Marvel Stadium,"33,294"
2,Saturday,25 March,4:30 pm,Fremantle,72,def. by,North Melbourne,73,Optus Stadium,"40,487"
2,Sunday,26 March,1:10 pm,Sydney,118,def.,Hawthorn,37,Sydney Cricket Ground,"37,052"
2,Sunday,26 March,3:20 pm,Essendon,108,def.,Gold Coast,80,Marvel Stadium,"32,915"
2,Sunday,26 March,3:20 pm,West Coast,100,def.,Greater Western Sydney,81,Optus Stadium,"44,649"
3,Thursday,30 March,7:20 pm,Western Bulldogs,67,def.,Brisbane Lions,53,Marvel Stadium,"23,665"
3,Friday,31 March,7:50 pm,Collingwood,63,def.,Richmond,49,Melbourne Cricket Ground,"85,241"
3,Saturday,1 April,1:45 pm,Hawthorn,80,def.,North Melbourne,61,University of Tasmania Stadium,"11,007"
3,Saturday,1 April,4:35 pm,Greater Western Sydney,64,def. by,Carlton,74,Giants Stadium,"9,691"
3,Saturday,1 April,7:25 pm,St Kilda,92,def.,Essendon,74,Melbourne Cricket Ground,"69,255"
3,Saturday,1 April,7:30 pm,Port Adelaide,86,def. by,Adelaide,117,Adelaide Oval,"48,962"
3,Sunday,2 April,2:10 pm,Gold Coast,73,def.,Geelong,54,Heritage Bank Stadium,"13,122"
3,Sunday,2 April,3:20 pm,Melbourne,134,def.,Sydney,84,Melbourne Cricket Ground,"42,423"
3,Sunday,2 April,3:20 pm,Fremantle,108,def.,West Coast,67,Optus Stadium,"56,090"
4,Thursday,6 April,7:35 pm,Brisbane Lions,116,def.,Collingwood,83,The Gabba,"33,565"
4,Friday,7 April,4:20 pm,North Melbourne,84,def. by,Carlton,107,Marvel Stadium,"49,062"
4,Saturday,8 April,1:15 pm,Adelaide,111,def.,Fremantle,72,Adelaide Oval,"33,725"
4,Saturday,8 April,4:35 pm,Richmond,84,def. by,Western Bulldogs,89,Melbourne Cricket Ground,"56,449"
4,Saturday,8 April,7:30 pm,Sydney,64,def. by,Port Adelaide,66,Sydney Cricket Ground,"31,686"
4,Saturday,8 April,7:30 pm,St Kilda,113,def.,Gold Coast,60,Marvel Stadium,"21,049"
4,Sunday,9 April,2:10 pm,Essendon,88,def.,Greater Western Sydney,75,Marvel Stadium,"28,815"
4,Sunday,9 April,3:20 pm,West Coast,63,def. by,Melbourne,126,Optus Stadium,"42,458"
4,Monday,10 April,3:20 pm,Geelong,127,def.,Hawthorn,45,Melbourne Cricket Ground,"65,335"
5,Thursday,13 April,7:10 pm,Adelaide,118,def.,Carlton,62,Adelaide Oval,"47,395"
5,Friday,14 April,4:40 pm,Gold Coast,90,def. by,Fremantle,100,Norwood Oval,"9,329"
5,Friday,14 April,7:40 pm,Sydney,122,def.,Richmond,78,Adelaide Oval,"42,134"
5,Saturday,15 April,12:40 pm,North Melbourne,77,def. by,Brisbane Lions,152,Summit Sports Park,"7,329"
5,Saturday,15 April,3:40 pm,Melbourne,77,def. by,Essendon,104,Adelaide Oval,"33,832"
5,Saturday,15 April,7:20 pm,Port Adelaide,70,def.,Western Bulldogs,56,Adelaide Oval,"45,115"
5,Sunday,16 April,12:40 pm,West Coast,89,def. by,Geelong,136,Adelaide Oval,"30,120"
5,Sunday,16 April,2:50 pm,Greater Western Sydney,77,def.,Hawthorn,75,Norwood Oval,"9,057"
5,Sunday,16 April,4:20 pm,St Kilda,64,def. by,Collingwood,70,Adelaide Oval,"43,976"
6,Friday,21 April,6:10 pm,Fremantle,69,def. by,Western Bulldogs,118,Optus Stadium,"47,503"
6,Saturday,22 April,1:15 pm,Port Adelaide,109,def.,West Coast,69,Adelaide Oval,"31,638"
6,Saturday,22 April,4:35 pm,Greater Western Sydney,87,def. by,Brisbane Lions,108,Manuka Oval,"10,461"
6,Saturday,22 April,7:25 pm,Geelong,130,def.,Sydney,37,GMHBA Stadium,"23,134"
6,Sunday,23 April,1:10 pm,Hawthorn,76,def. by,Adelaide,79,University of Tasmania Stadium,"10,119"
6,Sunday,23 April,3:20 pm,Carlton,60,def. by,St Kilda,82,Marvel Stadium,"45,770"
6,Sunday,23 April,4:40 pm,Gold Coast,97,def.,North Melbourne,54,Heritage Bank Stadium,"9,672"
6,Monday,24 April,7:25 pm,Melbourne,96,def.,Richmond,78,Melbourne Cricket Ground,"83,985"
6,Tuesday,25 April,3:20 pm,Collingwood,90,def.,Essendon,77,Melbourne Cricket Ground,"95,179"
7,Friday,28 April,7:50 pm,St Kilda,76,def. by,Port Adelaide,83,Marvel Stadium,"25,845"
7,Saturday,29 April,1:45 pm,Brisbane Lions,115,def.,Fremantle,67,The Gabba,"25,528"
7,Saturday,29 April,2:10 pm,Sydney,106,def. by,Greater Western Sydney,107,Sydney Cricket Ground,"31,615"
7,Saturday,29 April,4:35 pm,Western Bulldogs,94,def.,Hawthorn,65,Marvel Stadium,"40,119"
7,Saturday,29 April,7:25 pm,Melbourne,139,def.,North Melbourne,49,Melbourne Cricket Ground,"29,455"
7,Saturday,29 April,5:30 pm,West Coast,44,def. by,Carlton,152,Optus Stadium,"47,940"
7,Sunday,30 April,1:10 pm,Essendon,104,def. by,Geelong,132,Melbourne Cricket Ground,"67,457"
7,Sunday,30 April,3:20 pm,Richmond,48,def. by,Gold Coast,72,Marvel Stadium,"23,664"
7,Sunday,30 April,4:10 pm,Adelaide,58,def. by,Collingwood,59,Adelaide Oval,"43,942"
8,Friday,5 May,7:50 pm,Carlton,74,def. by,Brisbane Lions,100,Marvel Stadium,"45,458"
8,Saturday,6 May,1:45 pm,Richmond,104,def.,West Coast,58,Melbourne Cricket Ground,"28,293"
8,Saturday,6 May,2:10 pm,Geelong,98,def.,Adelaide,72,GMHBA Stadium,"21,415"
8,Saturday,6 May,4:35 pm,Gold Coast,85,def. by,Melbourne,90,Heritage Bank Stadium,"11,440"
8,Saturday,6 May,7:30 pm,Greater Western Sydney,71,def. by,Western Bulldogs,86,Manuka Oval,"10,039"
8,Saturday,6 May,5:30 pm,Fremantle,117,def.,Hawthorn,48,Optus Stadium,"37,160"
8,Sunday,7 May,12:40 pm,Port Adelaide,92,def.,Essendon,87,Adelaide Oval,"36,247"
8,Sunday,7 May,3:20 pm,Collingwood,77,def.,Sydney,48,Melbourne Cricket Ground,"71,463"
8,Sunday,7 May,4:40 pm,North Melbourne,34,def. by,St Kilda,64,Marvel Stadium,"22,065"
9,Friday,12 May,7:20 pm,Richmond,102,def.,Geelong,78,Melbourne Cricket Ground,"58,141"
9,Friday,12 May,6:40 pm,West Coast,43,def. by,Gold Coast,113,Optus Stadium,"36,219"
9,Saturday,13 May,1:45 pm,Sydney,86,def. by,Fremantle,103,Sydney Cricket Ground,"28,927"
9,Saturday,13 May,2:10 pm,North Melbourne,65,def. by,Port Adelaide,135,Blundstone Arena,"6,310"
9,Saturday,13 May,4:35 pm,Hawthorn,49,def. by,Melbourne,103,Melbourne Cricket Ground,"39,818"
9,Saturday,13 May,7:25 pm,Brisbane Lions,87,def.,Essendon,45,The Gabba,"31,898"
9,Saturday,13 May,7:30 pm,Carlton,59,def. by,Western Bulldogs,79,Marvel Stadium,"42,756"
9,Sunday,14 May,12:40 pm,Adelaide,121,def.,St Kilda,69,Adelaide Oval,"33,805"
9,Sunday,14 May,4:40 pm,Collingwood,120,def.,Greater Western Sydney,55,Melbourne Cricket Ground,"37,631"
10,Friday,19 May,7:20 pm,Yartapuulti,80,def.,Narrm,76,Adelaide Oval,"37,565"
10,Saturday,20 May,1:45 pm,North Melbourne,90,def. by,Sydney,93,Marvel Stadium,"21,003"
10,Saturday,20 May,2:10 pm,Western Bulldogs,85,def.,Adelaide,40,Mars Stadium,"10,114"
10,Saturday,20 May,2:35 pm,Walyalup,106,def.,Geelong,77,Optus Stadium,"45,811"
10,Saturday,20 May,7:30 pm,Brisbane Lions,107,def.,Gold Coast,64,The Gabba,"23,286"
10,Saturday,20 May,7:40 pm,Essendon,71,def.,Richmond,70,Melbourne Cricket Ground,"78,300"
10,Sunday,21 May,1:10 pm,Hawthorn,142,def.,West Coast,26,University of Tasmania Stadium,"9,135"
10,Sunday,21 May,3:20 pm,Carlton,57,def. by,Collingwood,85,Melbourne Cricket Ground,"80,354"
10,Sunday,21 May,4:40 pm,Greater Western Sydney,80,def. by,St Kilda,92,Giants Stadium,"7,508"
11,Friday,26 May,7:50 pm,Sydney,77,def.,Carlton,51,Sydney Cricket Ground,"36,310"
11,Saturday,27 May,1:45 pm,St Kilda,78,def. by,Hawthorn,88,Marvel Stadium,"32,022"
11,Saturday,27 May,2:10 pm,Narrm,72,def. by,Walyalup,79,Melbourne Cricket Ground,"29,154"
11,Saturday,27 May,4:35 pm,Geelong,74,def. by,Greater Western Sydney,81,GMHBA Stadium,"21,349"
11,Saturday,27 May,6:55 pm,Gold Coast,84,def.,Western Bulldogs,77,TIO Stadium,"9,316"
11,Saturday,27 May,5:40 pm,West Coast,46,def. by,Essendon,96,Optus Stadium,"39,269"
11,Sunday,28 May,1:10 pm,Richmond,67,def. by,Yartapuulti,77,Melbourne Cricket Ground,"30,357"
11,Sunday,28 May,3:20 pm,Collingwood,105,def.,North Melbourne,70,Marvel Stadium,"39,467"
11,Sunday,28 May,4:10 pm,Adelaide,95,def.,Brisbane Lions,78,Adelaide Oval,"33,188"
12,Friday,2 June,7:50 pm,Melbourne,61,def.,Carlton,44,Melbourne Cricket Ground,"49,872"
12,Saturday,3 June,1:15 pm,Port Adelaide,151,def.,Hawthorn,96,Adelaide Oval,"34,234"
12,Saturday,3 June,2:35 pm,West Coast,57,def. by,Collingwood,120,Optus Stadium,"41,713"
12,Saturday,3 June,7:25 pm,Western Bulldogs,75,def. by,Geelong,97,Marvel Stadium,"41,944"
12,Saturday,3 June,7:00 pm,Gold Coast,112,def.,Adelaide,87,TIO Stadium,"10,772"
12,Sunday,4 June,1:10 pm,Greater Western Sydney,104,def. by,Richmond,110,Giants Stadium,"9,723"
12,Sunday,4 June,4:40 pm,Essendon,105,def.,North Melbourne,99,Marvel Stadium,"40,488"
13,Thursday,8 June,7:10 pm,Sydney,66,def. by,St Kilda,80,Sydney Cricket Ground,"30,123"
13,Friday,9 June,7:50 pm,Western Bulldogs,85,def. by,Port Adelaide,107,Marvel Stadium,"23,110"
13,Saturday,10 June,1:45 pm,Hawthorn,98,def.,Brisbane Lions,73,Melbourne Cricket Ground,"35,869"
13,Saturday,10 June,4:05 pm,Adelaide,174,def.,West Coast,52,Adelaide Oval,"39,450"
13,Saturday,10 June,5:25 pm,Fremantle,70,def. by,Richmond,85,Optus Stadium,"46,843"
13,Sunday,11 June,3:20 pm,North Melbourne,75,def. by,Greater Western Sydney,103,Blundstone Arena,"5,025"
13,Sunday,11 June,7:15 pm,Carlton,52,def. by,Essendon,86,Melbourne Cricket Ground,"83,638"
13,Monday,12 June,3:20 pm,Melbourne,66,def.,Collingwood,62,Melbourne Cricket Ground,"83,578"
14,Thursday,15 June,7:10 pm,Port Adelaide,110,def.,Geelong,72,Adelaide Oval,"36,316"
14,Friday,16 June,7:50 pm,Brisbane Lions,97,def.,Sydney,81,The Gabba,"28,561"
14,Saturday,17 June,4:35 pm,Greater Western Sydney,106,def.,Fremantle,36,Giants Stadium,"8,633"
14,Saturday,17 June,7:25 pm,Richmond,90,def.,St Kilda,70,Melbourne Cricket Ground,"62,686"
14,Sunday,18 June,1:10 pm,Carlton,120,def.,Gold Coast,61,Melbourne Cricket Ground,"29,602"
14,Sunday,18 June,4:40 pm,North Melbourne,84,def. by,Western Bulldogs,105,Marvel Stadium,"23,829"
15,Thursday,22 June,7:20 pm,Geelong,78,def.,Melbourne,63,GMHBA Stadium,"19,617"
15,Friday,23 June,7:50 pm,St Kilda,56,def. by,Brisbane Lions,84,Marvel Stadium,"28,985"
15,Saturday,24 June,4:35 pm,Sydney,205,def.,West Coast,34,Sydney Cricket Ground,"31,367"
15,Saturday,24 June,5:30 pm,Fremantle,93,def.,Essendon,61,Optus Stadium,"43,063"
15,Sunday,25 June,1:10 pm,Collingwood,82,def.,Adelaide,80,Melbourne Cricket Ground,"65,930"
15,Sunday,25 June,4:40 pm,Gold Coast,101,def.,Hawthorn,34,Heritage Bank Stadium,"14,242"
16,Thursday,29 June,7:20 pm,Brisbane Lions,134,def.,Richmond,53,The Gabba,"30,022"
16,Friday,30 June,7:50 pm,Sydney,54,drew with,Geelong,54,Sydney Cricket Ground,"32,098"
16,Saturday,1 July,1:15 pm,Adelaide,138,def.,North Melbourne,72,Adelaide Oval,"35,226"
16,Saturday,1 July,1:45 pm,Western Bulldogs,102,def.,Fremantle,73,Marvel Stadium,"25,412"
16,Saturday,1 July,4:35 pm,Gold Coast,42,def. by,Collingwood,120,Heritage Bank Stadium,"22,483"
16,Saturday,1 July,7:25 pm,Essendon,74,def. by,Port Adelaide,78,Melbourne Cricket Ground,"38,957"
16,Sunday,2 July,1:10 pm,Hawthorn,52,def. by,Carlton,112,Melbourne Cricket Ground,"66,337"
16,Sunday,2 July,2:50 pm,Melbourne,45,def. by,Greater Western Sydney,47,TIO Traeger Park,"3,413"
16,Sunday,2 July,2:40 pm,West Coast,77,def. by,St Kilda,85,Optus Stadium,"35,579"
17,Thursday,6 July,7:20 pm,Richmond,88,def.,Sydney,75,Melbourne Cricket Ground,"48,443"
17,Friday,7 July,7:50 pm,Western Bulldogs,77,def. by,Collingwood,89,Marvel Stadium,"43,482"
17,Saturday,8 July,1:45 pm,Brisbane Lions,116,def.,West Coast,35,The Gabba,"24,843"
17,Saturday,8 July,4:35 pm,Greater Western Sydney,85,def.,Hawthorn,72,Giants Stadium,"9,007"
17,Saturday,8 July,7:25 pm,St Kilda,58,def. by,Melbourne,79,Marvel Stadium,"30,749"
17,Saturday,8 July,7:10 pm,Port Adelaide,106,def.,Gold Coast,73,Adelaide Oval,"31,053"
17,Sunday,9 July,1:10 pm,Geelong,125,def.,North Melbourne,63,GMHBA Stadium,"21,066"
17,Sunday,9 July,3:20 pm,Essendon,115,def.,Adelaide,97,Marvel Stadium,"39,606"
17,Sunday,9 July,2:40 pm,Fremantle,45,def. by,Carlton,98,Optus Stadium,"49,469"
18,Thursday,13 July,7:20 pm,Sydney,78,def.,Western Bulldogs,76,Sydney Cricket Ground,"26,221"
18,Friday,14 July,7:50 pm,Melbourne,105,def.,Brisbane Lions,104,Melbourne Cricket Ground,"38,030"
18,Saturday,15 July,1:45 pm,Collingwood,113,def.,Fremantle,67,Melbourne Cricket Ground,"61,157"
18,Saturday,15 July,2:10 pm,Gold Coast,77,def.,St Kilda,51,Heritage Bank Stadium,"13,015"
18,Saturday,15 July,4:35 pm,Carlton,122,def.,Port Adelaide,72,Marvel Stadium,"34,306"
18,Saturday,15 July,7:25 pm,Geelong,122,def.,Essendon,45,GMHBA Stadium,"23,185"
18,Saturday,15 July,7:10 pm,Adelaide,57,def. by,Greater Western Sydney,71,Adelaide Oval,"36,674"
18,Sunday,16 July,1:10 pm,North Melbourne,40,def. by,Hawthorn,88,Marvel Stadium,"30,201"
18,Sunday,16 July,2:40 pm,West Coast,60,def. by,Richmond,98,Optus Stadium,"40,501"
19,Friday,21 July,7:50 pm,Essendon,49,def. by,Western Bulldogs,90,Marvel Stadium,"43,634"
19,Saturday,22 July,1:45 pm,Richmond,96,def.,Hawthorn,95,Melbourne Cricket Ground,"57,654"
19,Saturday,22 July,2:10 pm,Carlton,140,def.,West Coast,69,Marvel Stadium,"34,954"
19,Saturday,22 July,4:35 pm,Brisbane Lions,64,def.,Geelong,53,The Gabba,"32,586"
19,Saturday,22 July,5:40 pm,Fremantle,76,def. by,Sydney,105,Optus Stadium,"42,433"
19,Saturday,22 July,7:10 pm,Port Adelaide,83,def. by,Collingwood,85,Adelaide Oval,"47,965"
19,Sunday,23 July,1:10 pm,Greater Western Sydney,103,def.,Gold Coast,63,Manuka Oval,"10,026"
19,Sunday,23 July,3:20 pm,Melbourne,97,def.,Adelaide,93,Melbourne Cricket Ground,"33,122"
19,Sunday,23 July,4:40 pm,St Kilda,69,def.,North Melbourne,61,Marvel Stadium,"18,279"
20,Friday,28 July,7:50 pm,Collingwood,76,def. by,Carlton,93,Melbourne Cricket Ground,"86,785"
20,Saturday,29 July,1:45 pm,Geelong,64,def. by,Fremantle,71,GMHBA Stadium,"21,619"
20,Saturday,29 July,1:45 pm,Western Bulldogs,73,def. by,Greater Western Sydney,78,Mars Stadium,"9,080"
20,Saturday,29 July,4:35 pm,Gold Coast,96,def.,Brisbane Lions,55,Heritage Bank Stadium,"14,097"
20,Saturday,29 July,7:25 pm,Essendon,99,def. by,Sydney,101,Marvel Stadium,"38,329"
20,Saturday,29 July,7:10 pm,Adelaide,112,def.,Port Adelaide,65,Adelaide Oval,"50,023"
20,Sunday,30 July,1:10 pm,Hawthorn,93,def. by,St Kilda,122,Marvel Stadium,"22,769"
20,Sunday,30 July,3:20 pm,Richmond,98,def. by,Melbourne,130,Melbourne Cricket Ground,"52,294"
20,Sunday,30 July,4:40 pm,West Coast,72,def.,North Melbourne,67,Optus Stadium,"38,231"
21,Friday,4 August,7:50 pm,Western Bulldogs,126,def.,Richmond,71,Marvel Stadium,"39,304"
21,Saturday,5 August,1:45 pm,Essendon,73,def.,West Coast,72,Marvel Stadium,"30,742"
21,Saturday,5 August,1:40 pm,Adelaide,89,def.,Gold Coast,61,Adelaide Oval,"35,777"
21,Saturday,5 August,4:35 pm,Hawthorn,105,def.,Collingwood,73,Melbourne Cricket Ground,"62,134"
21,Saturday,5 August,7:25 pm,Geelong,97,def.,Port Adelaide,85,GMHBA Stadium,"21,279"
21,Saturday,5 August,7:30 pm,Greater Western Sydney,85,def. by,Sydney,96,Giants Stadium,"19,332"
21,Sunday,6 August,1:10 pm,North Melbourne,71,def. by,Melbourne,103,Blundstone Arena,"8,034"
21,Sunday,6 August,3:20 pm,St Kilda,54,def. by,Carlton,73,Marvel Stadium,"42,656"
21,Sunday,6 August,2:40 pm,Fremantle,74,def. by,Brisbane Lions,77,Optus Stadium,"37,845"
22,Friday,11 August,7:50 pm,Collingwood,109,def.,Geelong,101,Melbourne Cricket Ground,"78,749"
22,Saturday,12 August,1:45 pm,North Melbourne,77,def. by,Essendon,86,Marvel Stadium,"37,231"
22,Saturday,12 August,1:45 pm,Sydney,114,def.,Gold Coast,90,Sydney Cricket Ground,"33,911"
22,Saturday,12 August,4:35 pm,Brisbane Lions,99,def.,Adelaide,93,The Gabba,"30,107"
22,Saturday,12 August,7:30 pm,Carlton,60,def.,Melbourne,56,Melbourne Cricket Ground,"68,577"
22,Saturday,12 August,6:10 pm,West Coast,33,def. by,Fremantle,134,Optus Stadium,"51,172"
22,Sunday,13 August,1:10 pm,Hawthorn,67,def.,Western Bulldogs,64,University of Tasmania Stadium,"12,480"
22,Sunday,13 August,3:20 pm,St Kilda,93,def.,Richmond,57,Marvel Stadium,"31,119"
22,Sunday,13 August,4:10 pm,Port Adelaide,136,def.,Greater Western Sydney,85,Adelaide Oval,"32,597"
23,Friday,18 August,7:50 pm,Collingwood,100,def. by,Brisbane Lions,124,Marvel Stadium,"38,350"
23,Saturday,19 August,1:45 pm,Richmond,101,def.,North Melbourne,72,Melbourne Cricket Ground,"59,555"
23,Saturday,19 August,2:10 pm,Gold Coast,87,def. by,Carlton,91,Heritage Bank Stadium,"19,253"
23,Saturday,19 August,4:35 pm,Greater Western Sydney,162,def.,Essendon,36,Giants Stadium,"10,281"
23,Saturday,19 August,7:25 pm,St Kilda,88,def.,Geelong,55,Marvel Stadium,"40,103"
23,Saturday,19 August,7:10 pm,Adelaide,73,def. by,Sydney,74,Adelaide Oval,"44,817"
23,Sunday,20 August,1:10 pm,Western Bulldogs,85,def. by,West Coast,92,Marvel Stadium,"23,965"
23,Sunday,20 August,3:20 pm,Melbourne,87,def.,Hawthorn,60,Melbourne Cricket Ground,"50,142"
23,Sunday,20 August,2:40 pm,Fremantle,58,def. by,Port Adelaide,74,Optus Stadium,"38,360"
24,Friday,25 August,7:50 pm,Essendon,31,def. by,Collingwood,101,Melbourne Cricket Ground,"74,344"
24,Saturday,26 August,1:45 pm,North Melbourne,132,def.,Gold Coast,97,Blundstone Arena,"4,378"
24,Saturday,26 August,1:45 pm,Hawthorn,56,def. by,Fremantle,93,Melbourne Cricket Ground,"27,951"
24,Saturday,26 August,4:35 pm,Brisbane Lions,72,def.,St Kilda,60,The Gabba,"31,689"
24,Saturday,26 August,7:25 pm,Geelong,79,def. by,Western Bulldogs,104,GMHBA Stadium,"20,533"
24,Saturday,26 August,6:10 pm,West Coast,78,def. by,Adelaide,123,Optus Stadium,"47,027"
24,Sunday,27 August,12:00 pm,Port Adelaide,94,def.,Richmond,63,Adelaide Oval,"39,860"
24,Sunday,27 August,3:20 pm,Sydney,56,def. by,Melbourne,77,Sydney Cricket Ground,"41,753"
24,Sunday,27 August,6:10 pm,Carlton,73,def. by,Greater Western Sydney,105,Marvel Stadium,"44,354"
